unique_ID,date,tank_ID,species,time_interval,sample_type,treatment,fate,infection_load_GE,
17.1.4,04/07/17,17,Ss,initial,swab,Ss + Hm,euthanased,0,
17.1.5,04/07/17,17,Ss,initial,swab,Ss + Hm,euthanased,0,
17.1.6,04/07/17,17,Ss,initial,swab,Ss + Hm,euthanased,0.034942341,
17.1.7,04/07/17,17,Ss,initial,swab,Ss + Hm,euthanased,0,
17.1.8,04/07/17,17,Ss,initial,swab,Ss + Hm,euthanased,0,
17.1.9,04/07/17,17,Ss,initial,swab,Ss + Hm,euthanased,0,
18.1.1,04/07/17,18,Ss,initial,swab,Ss + Bs,euthanased,0,
18.1.10,04/07/17,18,Ss,initial,swab,Ss + Bs,euthanased,0.003078532,
18.1.2,04/07/17,18,Ss,initial,swab,Ss + Bs,euthanased,0,
18.1.3,04/07/17,18,Ss,initial,swab,Ss + Bs,euthanased,0,
18.1.4,04/07/17,18,Ss,initial,swab,Ss + Bs,euthanased,0.060882252,
18.1.5,04/07/17,18,Ss,initial,swab,Ss + Bs,euthanased,0.005115111,
18.1.6,04/07/17,18,Ss,initial,swab,Ss + Bs,euthanased,0.008818448,
18.1.7,04/07/17,18,Ss,initial,swab,Ss + Bs,euthanased,0,
18.1.8,04/07/17,18,Ss,initial,swab,Ss + Bs,euthanased,0,
18.1.9,04/07/17,18,Ss,initial,swab,Ss + Bs,euthanased,0,
19.1.1,04/07/17,19,Ss,initial,swab,random,euthanased,0.017095342,
19.1.10,04/07/17,19,Ss,initial,swab,random,euthanased,0.015797893,
19.1.2,04/07/17,19,Ss,initial,swab,random,euthanased,0.270268209,
19.1.3,04/07/17,19,Ss,initial,swab,random,euthanased,0,
19.1.4,04/07/17,19,Ss,initial,swab,random,euthanased,0,
19.1.5,04/07/17,19,Ss,initial,swab,random,euthanased,0.033543273,
19.1.6,04/07/17,19,Ss,initial,swab,random,euthanased,0,
19.1.7,04/07/17,19,Ss,initial,swab,random,euthanased,0,
19.1.8,04/07/17,19,Ss,initial,swab,random,euthanased,0,
19.1.9,04/07/17,19,Ss,initial,swab,random,euthanased,0,
2.1.1,04/07/17,2,Ss,initial,swab,random,euthanased,0,
2.1.10,04/07/17,2,Ss,initial,swab,random,euthanased,0,
2.1.2,04/07/17,2,Ss,initial,swab,random,euthanased,0.453539006,
2.1.3,04/07/17,2,Ss,initial,swab,random,euthanased,0,
2.1.4,04/07/17,2,Ss,initial,swab,random,euthanased,0.196142904,
2.1.5,04/07/17,2,Ss,initial,swab,random,euthanased,0,
2.1.6,04/07/17,2,Ss,initial,swab,random,euthanased,0.004896586,
2.1.7,04/07/17,2,Ss,initial,swab,random,euthanased,0,
2.1.8,04/07/17,2,Ss,initial,swab,random,euthanased,0,
2.1.9,04/07/17,2,Ss,initial,swab,random,euthanased,0,
20.1.1,04/07/17,20,Ss,initial,swab,Ss + Bs + Hm,euthanased,0,
20.1.10,04/07/17,20,Ss,initial,swab,Ss + Bs + Hm,euthanased,0,
20.1.2,04/07/17,20,Ss,initial,swab,Ss + Bs + Hm,euthanased,0,
20.1.3,04/07/17,20,Ss,initial,swab,Ss + Bs + Hm,euthanased,0,
20.1.4,04/07/17,20,Ss,initial,swab,Ss + Bs + Hm,euthanased,0.052331528,
20.1.5,04/07/17,20,Ss,initial,swab,Ss + Bs + Hm,euthanased,0.020887309,
20.1.6,04/07/17,20,Ss,initial,swab,Ss + Bs + Hm,euthanased,0.003121736,
20.1.7,04/07/17,20,Ss,initial,swab,Ss + Bs + Hm,euthanased,0,
20.1.8,04/07/17,20,Ss,initial,swab,Ss + Bs + Hm,euthanased,0.162230823,
20.1.9,04/07/17,20,Ss,initial,swab,Ss + Bs + Hm,euthanased,0.079453615,
3.1.1,04/07/17,3,Ss,initial,swab,Ss + Hm,euthanased,0,
3.1.10,04/07/17,3,Ss,initial,swab,Ss + Hm,euthanased,0,
3.1.2,04/07/17,3,Ss,initial,swab,Ss + Hm,euthanased,0,
3.1.3,04/07/17,3,Ss,initial,swab,Ss + Hm,euthanased,0.282020066,
3.1.4,04/07/17,3,Ss,initial,swab,Ss + Hm,euthanased,0,
3.1.5,04/07/17,3,Ss,initial,swab,Ss + Hm,euthanased,0.013906045,
3.1.6,04/07/17,3,Ss,initial,swab,Ss + Hm,euthanased,0,
3.1.7,04/07/17,3,Ss,initial,swab,Ss + Hm,euthanased,0,
3.1.8,04/07/17,3,Ss,initial,swab,Ss + Hm,euthanased,0.002592091,
3.1.9,04/07/17,3,Ss,initial,swab,Ss + Hm,euthanased,0.008902702,
4.1.1,04/07/17,4,Ss,initial,swab,random,euthanased,0.255511366,
4.1.10,04/07/17,4,Ss,initial,swab,random,euthanased,0,
4.1.2,04/07/17,4,Ss,initial,swab,random,euthanased,0,
4.1.3,04/07/17,4,Ss,initial,swab,random,euthanased,0,
4.1.4,04/07/17,4,Ss,initial,swab,random,euthanased,0,
4.1.5,04/07/17,4,Ss,initial,swab,random,euthanased,0,
4.1.6,04/07/17,4,Ss,initial,swab,random,euthanased,0,
4.1.7,04/07/17,4,Ss,initial,swab,random,euthanased,0,
4.1.8,04/07/17,4,Ss,initial,swab,random,euthanased,0,
4.1.9,04/07/17,4,Ss,initial,swab,random,euthanased,0,
5.1.1,04/07/17,5,Ss,initial,swab,Ss + Hm,euthanased,0,
5.1.10,04/07/17,5,Ss,initial,swab,Ss + Hm,euthanased,0,
5.1.2,04/07/17,5,Ss,initial,swab,Ss + Hm,euthanased,0,
5.1.3,04/07/17,5,Ss,initial,swab,Ss + Hm,euthanased,0,
5.1.4,04/07/17,5,Ss,initial,swab,Ss + Hm,euthanased,0,
5.1.5,04/07/17,5,Ss,initial,swab,Ss + Hm,euthanased,0,
5.1.6,04/07/17,5,Ss,initial,swab,Ss + Hm,euthanased,0,
5.1.7,04/07/17,5,Ss,initial,swab,Ss + Hm,euthanased,0.001978045,
5.1.8,04/07/17,5,Ss,initial,swab,Ss + Hm,euthanased,0,
5.1.9,04/07/17,5,Ss,initial,swab,Ss + Hm,euthanased,0,
